"Method","Epoch","Damage_mIoU","Crack_IoU","Spall_IoU","Crack_Dice","Spall_Dice"
"Single-head LR-ASPP CE+Dice","36","0.5202490573116256","0.3675943717225091","0.6729037429007421","0.5375780704033133","0.8044739522597473"
"Single-head LR-ASPP Focal+Tversky","48","0.5263060891432166","0.3769335420315148","0.6756786362549184","0.547497073061915","0.8064537216575559"
"Dual-head LR-ASPP simple fusion","46","0.5210413406298284","0.37507311951689337","0.6670095617427634","0.5455318909130714","0.8002468336719591"
"Dual-head LR-ASPP + branch aux","42","0.5280386364134557","0.39390075429545457","0.6621765185314569","0.5651776183944333","0.7967583600765746"
