val_loss,precision,recall,f1,iou,tp,fp,fn,tn,threshold
0.9805630743503571,0.7815376800572097,0.3670968254041248,0.4995496825467149,0.3329331712859382,5508090,1539670,9496371,180850301,0.72
0.9805630743503571,0.7963985416595077,0.34290655292449357,0.479397976841787,0.3152685380794784,5145128,1315366,9859333,181074605,0.78
0.9805630743503571,0.8074575936303006,0.3235713698745993,0.46200436614278095,0.30039380865087123,4855014,1157703,10149447,181232268,0.82
0.9805630743503571,0.8197483537818495,0.3000303709676742,0.43928214967706847,0.28146160408569404,4501794,989884,10502667,181400087,0.86
0.9805630743503571,0.826812653184709,0.2857794758505487,0.42474880144732685,0.26963877370008177,4287967,898174,10716494,181491797,0.88
0.9805630743503571,0.8349364834833891,0.2690282576628377,0.40693601713665667,0.25544235605982224,4036624,798024,10967837,181591947,0.9
0.9805630743503571,0.8445531292353291,0.24885205806459826,0.3844298285690459,0.23795303687028707,3733891,687253,11270570,181702718,0.92
0.9805630743503571,0.8561902412384526,0.22297615355859834,0.3538101401715002,0.21492669151075938,3345637,561949,11658824,181828022,0.94
0.9805630743503571,0.8717694896669357,0.1869382045779585,0.30786027926322695,0.18193549592298547,2804907,412580,12199554,181977391,0.96
0.9805630743503571,0.8933164933299236,0.12944403667682564,0.22612232195907836,0.12747345815231684,1942238,231950,13062223,182158021,0.98
