"Method","CS","WL","HN","Epoch","Damage_mIoU","Crack_IoU","Spall_IoU","Crack_Dice","Spall_Dice","ValSet"
"LR-ASPP baseline","-","-","-","36","0.5202490573116256","0.3675943717225091","0.6729037429007421","0.5375780704033133","0.8044739522597473","original"
"LR-ASPP + CS","yes","-","-","31","0.4996064280553216","0.4359644509455983","0.5632484051650449","0.6072078604153619","0.7206127999926898","cs"
"LR-ASPP + CS + WL","yes","yes","-","49","0.5121692083148637","0.4529679533281027","0.5713704633016246","0.623507149336026","0.7272256627518777","cs"
"LR-ASPP + CS + WL + reviewed HN","yes","yes","yes","44","0.4665540086556914","0.4060100490642881","0.5270979682470947","0.5775350600580577","0.6903263303429485","cs+hn"
