"Method","Epoch","Damage_mIoU","Crack_IoU","Spall_IoU","Crack_Dice","Spall_Dice","Data"
"Baseline CE+Dice 50ep","36","0.5202490573116256","0.3675943717225091","0.6729037429007421","0.5375780704033133","0.8044739522597473","original"
"Focal+Dice 30ep","30","0.5146676765366778","0.3731000898756169","0.6562352631977387","0.543441942254063","0.7924420857103687","original"
"CE+Tversky 30ep","30","0.517664673992296","0.37032392694556665","0.6650054210390254","0.540491076107842","0.7988027097521847","original"
"Focal+Tversky 30ep","30","0.5195180497503871","0.3759275983837549","0.6631085011170192","0.5464351450255688","0.7974326397485737","original"
"Focal+Tversky 50ep","48","0.5263060891432166","0.3769335420315148","0.6756786362549184","0.547497073061915","0.8064537216575559","original"
"CS+WL CE+Dice 50ep","49","0.5121692083148637","0.4529679533281027","0.5713704633016246","0.623507149336026","0.7272256627518777","cs"
