"model","epoch","miou_damage","iou_crack","iou_spall","dice_crack","dice_spall","val_loss"
"tv_lraspp_mnv3","6","0.4462451429159555","0.2803602135334668","0.6121300722984442","0.43793959007792704","0.7594053145174804","1.16796476239025"
"unet","7","0.43650251180484007","0.27997206233888905","0.5930329612707911","0.4374658956654053","0.7445331963473223","1.1322232613376542"
"aspp","8","0.4305624808402224","0.24030595967013438","0.6208190020103105","0.38749464645650006","0.7660559275777312","1.1383236284349478"
"tv_deeplab_mnv3","5","0.4253023662487167","0.2571498763301522","0.5934548561672812","0.40909979179383","0.7448656030265098","1.2141597566038076"
"segformer_tiny","4","0.3989281568556633","0.20746708303158024","0.5903892306797464","0.34364014712631985","0.742446212902748","1.1976899121067313"
"ocr_lite","6","0.39489943056708965","0.1929496314594471","0.5968492296747322","0.32348328273238786","0.7475336037783686","1.2064263254108996"
"fpn","6","0.36974472302290123","0.18222513630587947","0.557264309739923","0.3082748466595486","0.7156965021987708","1.244382686474744"
"hrnet_lite","5","0.3257645182340458","0.1368531383701547","0.5146758980979369","0.24075781427028242","0.6795855123122302","1.3282955418718922"
