val_loss,precision,recall,f1,iou,tp,fp,fn,tn,threshold
0.7238498110520212,0.7601423760694167,0.44354408998763767,0.5602067780311305,0.3890883562190037,6655140,2099983,8349321,180289988,0.72
0.7238498110520212,0.7744482354912939,0.42190905757960917,0.5462360234234108,0.3757391380062396,6330518,1843712,8673943,180546259,0.78
0.7238498110520212,0.7850273843258118,0.4045530859122497,0.5339449642966532,0.36420526603252007,6070101,1662242,8934360,180727729,0.82
0.7238498110520212,0.797711124131892,0.38353760258365827,0.5180148857464725,0.3495412205995033,5754775,1459334,9249686,180930637,0.86
0.7238498110520212,0.8052338097038809,0.37083178129490957,0.5078055004700558,0.3403078490304176,5564131,1345826,9440330,181044145,0.88
0.7238498110520212,0.8136709093633762,0.3560793020155806,0.4953730576974117,0.32923314329286385,5342778,1223486,9661683,181166485,0.9
0.7238498110520212,0.8235616037046294,0.3379944137946708,0.4792867795859237,0.3151723633042516,5071424,1086493,9933037,181303478,0.92
0.7238498110520212,0.8358992093915815,0.3142869977135467,0.456816907189351,0.2960224935832699,4715707,925771,10288754,181464200,0.94
0.7238498110520212,0.8537159324748175,0.2803974098103224,0.42214429061810266,0.26754302570763694,4207212,720905,10797249,181669066,0.96
0.7238498110520212,0.8834926246137687,0.22086578118334274,0.3533876098207396,0.21461493423006955,3313972,437018,11690489,181952953,0.98
